X,Y,Z,Red,Green,Blue
412439.96108,4265860.49787,2168.94426,55,53,30
412439.95413,4265860.06042,2168.96505,34,34,24
412439.40726,4265860.66461,2168.91476,124,114,104
412439.82024,4265859.95628,2168.93217,50,46,34
412438.82793,4265861.52590,2168.83505,120,120,120
412438.86656,4265861.48708,2168.80888,104,108,109
412439.22393,4265860.60748,2168.89513,146,139,131
412439.70380,4265859.60558,2168.89385,105,98,82
412438.97643,4265860.30749,2168.89969,67,68,54
412440.15482,4265863.16259,2171.37847,209,215,213
412439.80905,4265863.12528,2171.14691,169,173,174
412440.20670,4265863.08228,2171.15160,46,42,39
412440.05615,4265863.11354,2170.36936,85,68,52
412441.09759,4265863.22987,2169.99632,157,163,161
412440.13729,4265863.12145,2169.76187,187,187,175
412441.49142,4265862.69430,2169.60144,182,179,164
412441.45452,4265862.65394,2169.61898,185,175,163
412446.25166,4265863.43867,2168.98586,12,12,14
412439.72337,4265863.10594,2169.64894,49,35,26
412445.47967,4265862.08809,2168.90326,114,97,87
412439.79349,4265863.08302,2169.38688,50,42,40
412440.87815,4265862.15692,2168.94158,168,167,162
412440.03489,4265862.53322,2169.05039,14,41,52
412439.79928,4265862.01914,2168.88454,150,147,140
412439.33033,4265862.19414,2168.95631,79,69,67
412440.62528,4265860.42288,2168.94988,143,138,135
412439.65920,4265861.73049,2168.90615,90,88,89
412439.93150,4265860.73811,2168.93935,88,80,77
412439.25027,4265861.51695,2168.91082,167,166,161
412439.80291,4265860.66832,2168.91249,150,143,135
412439.31417,4265860.71981,2168.90781,146,138,127
412440.02717,4265859.37529,2168.96310,98,87,67
412439.26462,4265860.34861,2168.90194,123,122,92
412438.93249,4265860.55524,2168.90835,125,116,111
412441.60459,4265863.25358,2172.63471,82,77,74
412439.83896,4265863.15064,2171.43630,174,183,182
412439.86047,4265863.38189,2171.47868,133,141,144
412445.10091,4265863.46821,2170.86324,112,112,110
412439.92418,4265863.13880,2170.32191,167,169,166
412439.69232,4265863.06772,2169.29755,182,165,147
412441.47604,4265862.95358,2168.98603,147,144,129
412442.39105,4265862.04857,2168.91983,118,113,81
412440.85198,4265862.50107,2168.91401,160,161,156
412442.08919,4265860.72099,2168.95371,82,74,51
412440.15700,4265862.57382,2168.91383,7,27,36
412441.30953,4265860.09245,2168.96002,149,150,152
412439.51040,4265862.26633,2168.93709,81,72,73
412440.98579,4265860.32376,2168.95627,137,134,129
412440.22404,4265860.39404,2168.96845,74,71,54
412440.37967,4265859.92488,2168.96863,26,32,22
412439.29256,4265861.04487,2168.97526,140,139,134
412439.00372,4265861.28569,2168.83635,132,138,136
412439.27573,4265860.93745,2168.82231,154,151,144
412438.97809,4265860.95693,2168.87846,118,119,121
412439.81894,4265859.54104,2168.95202,53,51,39
412440.96796,4265863.23807,2172.01992,203,212,211
412444.44036,4265863.50741,2171.11917,43,46,53
412440.68640,4265863.13120,2169.65521,57,48,43
412443.76630,4265862.93219,2168.99594,52,27,23
412440.87760,4265859.97116,2168.97189,98,92,70
412438.98529,4265861.08368,2168.95001,81,76,73
412446.55130,4265863.42615,2170.86265,51,40,34
412439.89122,4265862.61577,2169.41547,111,94,74
412438.91361,4265861.10314,2168.78482,55,58,63
412441.38715,4265863.23426,2170.95672,206,215,212
412440.49175,4265863.14442,2169.95045,200,209,206
412440.49690,4265863.15276,2169.94940,200,209,206
412440.43648,4265862.10073,2168.94894,165,160,156
412440.54183,4265859.95834,2168.95947,27,29,15
412440.70490,4265860.80540,2168.94801,146,141,135
412440.57174,4265863.19688,2170.83939,27,32,38
412438.93073,4265862.83537,2172.08758,109,83,70
412439.47962,4265862.70411,2172.17304,100,72,58
412438.54689,4265862.68119,2171.93763,100,77,69
412442.25552,4265863.39364,2172.88214,35,21,18
412442.16528,4265863.28770,2172.80555,49,35,32
412438.94978,4265862.72603,2171.99746,99,70,52
412438.36630,4265862.59173,2171.78395,112,81,61
412443.19236,4265862.98450,2172.79962,35,31,32
412441.79339,4265863.21089,2172.25339,132,116,93
412439.21805,4265863.12272,2171.42215,184,189,185
412440.50708,4265863.19481,2171.53039,177,186,185
412442.98730,4265863.35234,2171.81306,185,194,191
412445.79950,4265863.15138,2171.84802,66,46,37
412440.57181,4265863.13833,2171.23351,128,103,83
412441.85059,4265863.26298,2171.15614,77,78,82
412444.27554,4265863.36510,2171.26987,139,127,105
412445.40312,4265863.52069,2171.35139,49,41,39
412441.91385,4265863.28514,2171.11582,183,187,188
412444.47898,4265863.11534,2170.73419,31,32,36
412440.23355,4265863.16223,2170.08993,173,179,175
412445.02738,4265863.43748,2169.72676,48,37,31
412445.84358,4265863.52505,2169.54661,159,143,130
412440.88326,4265863.20191,2169.83690,187,192,188
412444.87177,4265863.44139,2169.45686,59,40,33
412445.25250,4265863.50690,2169.38218,136,117,111
412441.91037,4265863.22899,2169.64443,154,144,134
412444.73536,4265863.44315,2169.19547,58,39,33
412445.87262,4265863.51684,2169.05028,180,164,149
412443.40774,4265863.32029,2169.28380,122,100,86
412446.00092,4265863.53239,2168.98337,59,36,20
