"X","Y","Z","Red","Green","Blue"
412351.25,4265901.56,2172.94,0,0,0
412350.56,4265902.25,2172.94,0,0,0
412349.33,4265901.69,2173.06,0,0,0
412349.07,4265902.19,2172.96,0,0,0
412350.31,4265902.77,2172.90,0,0,0
412351.55,4265903.34,2172.85,0,0,0
412351.10,4265904.21,2172.94,0,0,0
412349.86,4265903.62,2172.88,0,0,0
412349.40,4265904.09,2173.02,0,0,0
412350.64,4265904.67,2172.90,0,0,0
412350.50,4265905.88,2172.92,0,0,0
412349.26,4265905.30,2173.04,0,0,0
412349.73,4265906.13,2172.90,0,0,0
412350.98,4265906.71,2172.86,0,0,0
412351.04,4265907.98,2172.88,0,0,0
412349.81,4265907.40,2172.94,0,0,0
412348.94,4265907.70,2172.90,0,0,0
412351.38,4265908.84,2172.86,0,0,0
412350.17,4265908.28,2172.90,0,0,0
412350.52,4265909.66,2172.92,0,0,0
412349.29,4265909.09,2173.00,0,0,0
412349.28,4265909.80,2172.96,0,0,0
412350.53,4265910.38,2172.97,0,0,0
412349.77,4265911.37,2173.13,0,0,0
412351.02,4265911.95,2173.01,0,0,0
412350.73,4265912.54,2172.88,0,0,0
412349.51,4265911.96,2173.05,0,0,0
412351.44,4265914.31,2173.07,0,0,0
412348.92,4265913.13,2172.92,0,0,0
412350.17,4265913.71,2172.94,0,0,0
412349.65,4265914.25,2172.92,0,0,0
412350.91,4265914.84,2172.99,0,0,0
412350.71,4265916.00,2172.88,0,0,0
412349.46,4265915.42,2173.04,0,0,0
412349.92,4265916.46,2172.88,0,0,0
412351.17,4265917.05,2172.88,0,0,0
412349.97,4265917.84,2172.90,0,0,0
412351.20,4265918.41,2172.88,0,0,0
412348.94,4265918.12,2172.88,0,0,0
412350.18,4265918.70,2172.86,0,0,0
412351.45,4265919.30,2172.86,0,0,0
412350.47,4265920.23,2172.86,0,0,0
412349.21,4265919.63,2172.92,0,0,0
412349.16,4265920.44,2172.88,0,0,0
412350.42,4265921.03,2172.88,0,0,0
412350.61,4265922.52,2172.86,0,0,0
412349.36,4265921.94,2172.96,0,0,0
412349.24,4265922.77,2172.88,0,0,0
412350.50,4265923.37,2172.86,0,0,0
412351.17,4265925.09,2172.88,0,0,0
412349.93,4265924.52,2172.92,0,0,0
412349.32,4265925.07,2172.90,0,0,0
412350.08,4265925.33,2172.97,0,0,0
412348.87,4265923.31,2173.03,0,0,0
412350.22,4265923.65,2172.97,0,0,0
412351.55,4265923.98,2172.96,0,0,0
412351.26,4265923.38,2172.92,0,0,0
412349.94,4265923.05,2172.97,0,0,0
412349.95,4265921.41,2172.99,0,0,0
412351.27,4265921.73,2172.96,0,0,0
412351.26,4265921.28,2172.94,0,0,0
412349.95,4265920.95,2172.94,0,0,0
412349.48,4265919.03,2173.02,0,0,0
412350.83,4265919.36,2172.94,0,0,0
412351.16,4265918.96,2172.98,0,0,0
412349.83,4265918.63,2172.99,0,0,0
412349.36,4265916.79,2173.01,0,0,0
412350.68,4265917.12,2172.98,0,0,0
412351.30,4265916.74,2172.94,0,0,0
412349.96,4265916.41,2173.00,0,0,0
412349.27,4265914.57,2173.10,0,0,0
412350.59,4265914.88,2173.10,0,0,0
412351.53,4265914.63,2173.11,0,0,0
412350.24,4265914.31,2172.98,0,0,0
412348.88,4265913.96,2173.07,0,0,0
412349.13,4265912.31,2173.11,0,0,0
412350.46,4265912.63,2173.17,0,0,0
412351.59,4265912.42,2173.07,0,0,0
412350.24,4265912.09,2173.24,0,0,0
412348.96,4265911.77,2173.11,0,0,0
412348.80,4265910.17,2173.15,0,0,0
412350.13,4265910.50,2173.11,0,0,0
412351.45,4265910.84,2173.10,0,0,0
412351.41,4265910.31,2173.02,0,0,0
412350.09,4265909.98,2173.02,0,0,0
412348.77,4265909.65,2173.02,0,0,0
412349.74,4265908.28,2173.06,0,0,0
412351.08,4265908.62,2172.94,0,0,0
412351.40,4265908.17,2172.96,0,0,0
412350.07,4265907.84,2172.97,0,0,0
412348.76,4265907.52,2173.00,0,0,0
412349.15,4265905.95,2173.00,0,0,0
412350.48,4265906.28,2173.02,0,0,0
412351.13,4265905.92,2172.94,0,0,0
412349.79,4265905.59,2173.08,0,0,0
412348.91,4265903.63,2173.11,0,0,0
412350.26,4265903.96,2173.00,0,0,0
412351.57,4265904.29,2173.02,0,0,0
412351.02,4265903.66,2172.92,0,0,0
412349.70,4265903.32,2172.97,0,0,0
412349.76,4265901.54,2173.09,0,0,0
412351.08,4265901.86,2173.11,0,0,0
412350.97,4265901.30,2173.04,0,0,0
412349.66,4265900.96,2173.02,0,0,0
412349.44,4265899.19,2173.08,0,0,0
412350.73,4265899.50,2173.11,0,0,0
412350.85,4265898.92,2173.02,0,0,0
412349.52,4265898.59,2173.01,0,0,0
412349.27,4265896.77,2173.02,0,0,0
412350.56,4265897.09,2173.06,0,0,0
412350.98,4265896.63,2173.03,0,0,0
412349.66,4265896.31,2172.99,0,0,0
412348.93,4265894.19,2173.07,0,0,0
412350.27,4265894.52,2173.03,0,0,0
412351.60,4265894.84,2173.00,0,0,0
